nama_kelurahan,latitude,longitude
Kalibata,-6.264140599999999,106.8370122
Rawajati,-6.258447599999999,106.8547133
Duren Tiga,-6.2553397,106.8325872
Pancoran,-6.2487089,106.8399623
Pengadegan,-6.2482256,106.8547133
Cikoko,-6.245055799999999,106.8539757
