nama_kelurahan,latitude,longitude
Bintaro,-6.2678825,106.7617984
Pesanggrahan,-6.2525412,106.7617984
Ulujami,-6.240989799999999,106.763273
Petukangan Selatan,-6.2425078,106.7559004
Petukangan Utara,-6.2273641,106.7500025
