nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,store,nama_kelurahan,nama_kecamatan,nama_kota,competitor_density_500m,jarak_kompetitor_meter,kompetitor_head_to_head,jarak_pasar_meter,pasar_terdekat,pelanggaran_zonasi,cluster_hdbscan_makro,cluster_hdbscan_prob,cluster_dbscan_hotspot,spatial_risk_score
indomaret kodam bintaro,4.4,82,-6.2590333,106.7597615,"pqr5+9wp, jl. bintaro permai, rt.4/rw.3, pesanggrahan, kota jakarta selatan",ChIJs2ElFvjwaS4RxGz06AXOrTg,Indomaret,Pesanggrahan,Pesanggrahan,Kota Jakarta Selatan,2,398.49,0,871.8166265347601,pasar pesanggrahan,0,8,0.9180015044583134,-1,0.133
indomaret veteran 42,4.4,11,-6.264296,106.7661822,"jl. rc. veteran raya no.42, rt.3/rw.1, bintaro, kota jakarta selatan",ChIJo_xXbVTwaS4RzpuiYgv408Y,Indomaret,Bintaro,Pesanggrahan,Kota Jakarta Selatan,6,88.48,0,1737.3820228530026,pasar pesanggrahan,0,8,1.0,24,0.3735
indomaret plus,4.3,229,-6.296373399999999,106.7948721,"5, jl. rs. fatmawati raya no.35, rt.5/rw.4, cilandak bar., kota jakarta selatan",ChIJd96Hv-DxaS4RHJwKA-4iFZI,Indomaret,Cilandak Barat,Cilandak,Kota Jakarta Selatan,5,228.26,0,1068.8896714290229,pasar mede pd pasar jaya,0,16,1.0,21,0.3529
post shop indomaret,3.0,5,-6.2947447,106.795399,"jl. rs. fatmawati raya no.10, rt.1/rw.4, cilandak bar., kota jakarta selatan",ChIJbd1pUOfxaS4Rt-kFPuyDtsk,Indomaret,Cilandak Barat,Cilandak,Kota Jakarta Selatan,7,89.95,0,886.9193588353074,pasar mede pd pasar jaya,0,16,1.0,21,0.3941
indomaret,3.7,33,-6.2180145,106.7953619,"indomaret, jl. ridwan i no.5, rt.5/rw.7, grogol utara, kota jakarta selatan",ChIJw8ErsUrxaS4RHLDUy4GJLKU,Indomaret,Grogol Utara,Kebayoran Lama,Kota Jakarta Selatan,2,195.86,0,2564.236068805119,pasar mayestik,0,-1,0.0,-1,0.0412
indomaret,5.0,1,-6.2321661,106.769049,"jl. h. husin no.7, rt.7/rw.13, grogol sel., kota jakarta selatan",ChIJ7wOa9NjwaS4RlE5wVtVplPI,Indomaret,Grogol Selatan,Kebayoran Lama,Kota Jakarta Selatan,2,600.57,0,413.8741978015442,pasar cidodol,1,-1,0.0,-1,0.4412
indomaret kebayoran lama 2 {thc1},3.7,23,-6.218096999999999,106.778701,"jl. raya kby. lama no.27, rt.5/rw.1, grogol utara, kota jakarta selatan",ChIJf6MZFinxaS4RyCeGToSenpA,Indomaret,Grogol Utara,Kebayoran Lama,Kota Jakarta Selatan,1,307.94,0,1799.1652636267816,pasar cidodol,0,-1,0.0,-1,0.0206
indomaret kemandoran,4.2,302,-6.2134016,106.7907194,"jl. kemandoran i, rt.5/rw.16, grogol utara, kota jakarta selatan",ChIJNRM7bsn2aS4R8hvF8YZwxCM,Indomaret,Grogol Utara,Kebayoran Lama,Kota Jakarta Selatan,1,682.38,0,2965.0638638125934,pasar cidodol,0,-1,0.0,-1,0.0206
indomaret,4.0,1,-6.2444003,106.7725752,"jl. peninggaran raya no.9, rw.11, kby. lama utara, kota jakarta selatan",ChIJSY442R3xaS4RiKFQ5S2VbxE,Indomaret,Kebayoran Lama Utara,Kebayoran Lama,Kota Jakarta Selatan,3,91.9,0,955.183077503202,pasar sayur cipulir,0,-1,0.0,-1,0.0618
indomaret kebayoran lama 3,4.5,24,-6.2330232,106.7804064,"jl. raya kby. lama no.227, rt.10/rw.1, grogol sel., kota jakarta selatan",ChIJob7ukyTxaS4RigRph3C5HUU,Indomaret,Grogol Selatan,Kebayoran Lama,Kota Jakarta Selatan,2,548.91,0,855.5710557040329,pasar cidodol,0,7,1.0,-1,0.1412
indomaret gandaria city,4.4,91,-6.245896699999999,106.78401,"jl. kh. moh. syafi'i hadzami no.45, rt.9/rw.6, kby. lama utara, kota jakarta selatan",ChIJM5u87BDxaS4Rgyv0HFQy6ZY,Indomaret,Kebayoran Lama Utara,Kebayoran Lama,Kota Jakarta Selatan,4,405.92,0,996.3340647394293,pasar mayestik,0,18,0.667535243192438,-1,0.1491
indomaret panjang cidodol 3,4.4,14,-6.2321222,106.769101,"jl. masjid cidodol rt. 009 / rw. 012 no: 65a, rt.7/rw.9, south grogol, kota jakarta selatan",ChIJGwAAADvxaS4RE8wz9nSvxB4,Indomaret,South Grogol,Kebayoran Lama,Kota Jakarta Selatan,2,605.46,0,409.6235288348988,pasar cidodol,1,-1,0.0,-1,0.4412
indomaret bungur raya2 {fuff},4.0,18,-6.2450426,106.780055,"jalan bunguran, rt.12/rw.2, kby. lama sel., kota jakarta selatan",ChIJ_46xkBrxaS4ReC4bR5CD23A,Indomaret,Kebayoran Lama Selatan,Kebayoran Lama,Kota Jakarta Selatan,5,334.68,0,1340.0054306349266,pasar mayestik,0,18,0.8397448725458945,25,0.3369
indomaret kemandoran 8,3.8,35,-6.2131316,106.7865443,"jl. kemandoran viii no.5, rw.11, grogol utara, kota jakarta selatan",ChIJT8mnns72aS4RPfUpbeXysQo,Indomaret,Grogol Utara,Kebayoran Lama,Kota Jakarta Selatan,1,714.84,0,2700.9758861029577,pasar cidodol,0,-1,0.0,-1,0.0206
indomaret patal senayan,4.1,122,-6.2187177,106.7954941,"jl. patal senayan no.5, rw.7, grogol utara, kota jakarta selatan",ChIJPQAAAM32aS4RcEnvkUaMIR4,Indomaret,Grogol Utara,Kebayoran Lama,Kota Jakarta Selatan,2,192.73,0,2489.873175226543,pasar mayestik,0,-1,0.0,-1,0.0412
indomaret ciputat raya 2,4.4,22,-6.2463603,106.7796743,"jl. raya ciputat, rt.8/rw.4, kby. lama utara, kota jakarta selatan",ChIJfYz0UxrxaS4RDiV8YKP8J24,Indomaret,Kebayoran Lama Utara,Kebayoran Lama,Kota Jakarta Selatan,5,191.35,0,1436.8787134165357,pasar mayestik,0,18,1.0,25,0.3529
indomaret,4.1,57,-6.2483714,106.7903916,"jl. gandaria 1 no.67, rt.2/rw.8, kramat pela, kota jakarta selatan",ChIJXUBFcBLxaS4RdvT3g4SaRRs,Indomaret,Kramat Pela,Kebayoran Baru,Kota Jakarta Selatan,7,35.41,1,856.3794490819653,pasar mayestik,0,20,1.0,26,0.3941
indomaret kh ahcmad dahlan. {twxj},4.1,27,-6.2458778,106.7920332,"qq3r+jrr, jalan kh. achmad dahlan, rt.3/rw.1, kramat pela, kota jakarta selatan",ChIJuxnwDxPxaS4R4BeT2kbalvE,Indomaret,Kramat Pela,Kebayoran Baru,Kota Jakarta Selatan,7,264.42,0,576.7604266620419,pasar mayestik,0,20,1.0,26,0.3941
indomaret kebayoran lama 1,4.2,373,-6.2381749,106.7808075,"jl. raya kby. lama no.4, rt.2/rw.1, kby. lama utara, kota jakarta selatan",ChIJodfvliLxaS4RpMCXWAnHq3Q,Indomaret,Kebayoran Lama Utara,Kebayoran Lama,Kota Jakarta Selatan,3,212.46,0,1060.7026216141162,pasar cidodol,0,7,1.0,27,0.3118
indomaret spbu ciputat. t04d,4.9,7,-6.2479081,106.7781297,"jl. ciputat raya no.12, rt.8/rw.8, kby. lama utara, kota jakarta selatan",ChIJh3nZSBvxaS4RZ-S7enqBkV0,Indomaret,Kebayoran Lama Utara,Kebayoran Lama,Kota Jakarta Selatan,7,51.71,0,1641.4599652418397,pasar sayur cipulir,0,18,0.8764257739691156,25,0.3818
indomaret kebayoran lama 242,4.5,130,-6.231951899999999,106.7803754,"jl. raya kby. lama no.242, rt.11/rw.1, grogol sel., kota jakarta selatan",ChIJM8eV5iTxaS4RwEvXAASHlko,Indomaret,Grogol Selatan,Kebayoran Lama,Kota Jakarta Selatan,2,480.72,0,861.9864616253526,pasar cidodol,0,7,1.0,-1,0.1412
indomaret jalan masjid cidodol,4.3,46,-6.2321668,106.769016,"jl. masjid cidodol no.55-58, rt.7/rw.12, grogol sel., kota jakarta selatan",ChIJJUPMjNjwaS4RdFqvhCYBXTs,Indomaret,Grogol Selatan,Kebayoran Lama,Kota Jakarta Selatan,2,600.51,0,417.3801926734999,pasar cidodol,1,-1,0.0,-1,0.4412
indomaret cipulir 1. t2z0,4.2,186,-6.235679999999999,106.7734791,"jl. cipulir i no.4, rt.12/rw.4, cipulir, kota jakarta selatan",ChIJy6BN4CDxaS4RsVFxeRXbZhc,Indomaret,Cipulir,Kebayoran Lama,Kota Jakarta Selatan,3,314.0,0,298.02281238425815,pasar cidodol,1,17,0.7563084343420323,-1,0.5374
indomaret ciledug raya 2,4.3,9,-6.238261,106.7717106,"jl. seskoal no.11, rt.8/rw.11, cipulir, kota jakarta selatan",ChIJ6aVHOCDxaS4R6MCZegYiQ0Q,Indomaret,Cipulir,Kebayoran Lama,Kota Jakarta Selatan,4,69.29,0,429.3470888193364,pasar sayur cipulir,1,17,0.7563084343420323,29,0.708
"indomaret, blok m square",4.0,1,-6.2443244,106.7993778,"jl. melawai 6 no.3, rw.1, melawai, kota jakarta selatan",ChIJp6k1jNPxaS4RsvpHlCJjam4,Indomaret,Melawai,Kebayoran Baru,Kota Jakarta Selatan,8,232.89,0,970.5125973292772,pasar mayestik,0,20,1.0,28,0.4147
indomaret gandaria1,4.7,7,-6.2484603,106.7904931,"jl. jatayu no.24, rt.2/rw.3, kramat pela, kota jakarta selatan",ChIJy45QPxLxaS4RZEV6XxuVfK0,Indomaret,Kramat Pela,Kebayoran Baru,Kota Jakarta Selatan,7,48.73,1,864.8479968022818,pasar mayestik,0,20,1.0,26,0.3941
indomaret point,4.1,9,-6.236225300000001,106.7826683,"jl. st. no.3, rt.4/rw.1, kby. lama utara, kota jakarta selatan",ChIJEUFZ1DzxaS4RfUdVOuGCFGo,Indomaret,Kebayoran Lama Utara,Kebayoran Lama,Kota Jakarta Selatan,4,137.27,0,1085.1519967034953,pasar mayestik,0,7,1.0,27,0.3324
indomaret bungur raya 2,4.8,77,-6.2476761,106.7817145,"jl. duku raya no.79-81, rt.14/rw.6, kby. lama utara, kota jakarta selatan",ChIJhV_DfRrxaS4Ry97kNCuA-dY,Indomaret,Kebayoran Lama Utara,Kebayoran Lama,Kota Jakarta Selatan,10,299.72,0,1317.8130617591062,pasar mayestik,0,18,1.0,25,0.4559
indomaret ulujami,3.9,89,-6.2410821,106.7629435,"jl. ulujami raya no.11, rt.11/rw.5, ulujami, kota jakarta selatan",ChIJ4___P-fwaS4Ra-rEZZq9-CM,Indomaret,Ulujami,Pesanggrahan,Kota Jakarta Selatan,2,54.9,0,545.5637857445348,pasar apoh,0,-1,0.0,-1,0.0412
indomaret assirot,4.3,156,-6.225558899999999,106.7751594,"jl. assirot no.6a, rt.5/rw.5, grogol sel., kota jakarta selatan",ChIJ8VBSPinxaS4Rsng_u-K88hw,Indomaret,Grogol Selatan,Kebayoran Lama,Kota Jakarta Selatan,3,464.98,0,885.2009576142026,pasar cidodol,0,7,1.0,-1,0.1618
indomaret panjang cidodol 2 (tg26),3.8,8,-6.227386999999999,106.772065,"qqfc+2rv, jl. panjang cidodol, rt.14/rw.6, grogol sel., kota jakarta selatan",ChIJK5X2RyjxaS4RyPDN-Qxm35w,Indomaret,Grogol Selatan,Kebayoran Lama,Kota Jakarta Selatan,1,721.06,0,641.420254631738,pasar cidodol,0,-1,0.0,-1,0.0206
indomaret al mubarok 1,4.6,80,-6.239336199999999,106.7710655,"jl. al mubarok 1 no.14, rt.8/rw.6, cipulir, kota jakarta selatan",ChIJuVSpxN_waS4Rm819BJDCdw0,Indomaret,Cipulir,Kebayoran Lama,Kota Jakarta Selatan,4,184.21,0,419.32162902016114,pasar sayur cipulir,1,17,0.7563084343420323,29,0.708
indomaret,5.0,3,-6.2375076,106.7638955,"jl. ciledug raya no.59, rt.1/rw.3, ulujami, kota jakarta selatan",ChIJSaRPzt3waS4R3DqqT8nucVY,Indomaret,Ulujami,Pesanggrahan,Kota Jakarta Selatan,3,460.85,0,456.1152635730115,pasar sayur cipulir,1,17,0.7563084343420323,-1,0.5374
indomaret delman utama. {f763},4.0,123,-6.247976299999999,106.7728671,"jl. delman utama, rt.2/rw.11, kby. lama utara, kota jakarta selatan",ChIJR9-Fph3xaS4R5_wCOsFGSn0,Indomaret,Kebayoran Lama Utara,Kebayoran Lama,Kota Jakarta Selatan,3,308.18,0,1322.3856499335138,pasar sayur cipulir,0,17,0.7425133859251997,-1,0.136
indomaret peninggaran raya,4.2,18,-6.2443344,106.7725693,"jl. peninggaran raya no.9, kby. lama utara, kota jakarta selatan",ChIJmemSdh7xaS4R82TubBojfuI,Indomaret,Kebayoran Lama Utara,Kebayoran Lama,Kota Jakarta Selatan,3,99.18,0,948.6260438434286,pasar sayur cipulir,0,17,0.7446233386490886,-1,0.1362
kebayoran lama indomaret assirot,4.7,213,-6.2253634,106.7782561,"jl. raya kby. lama no.n 44, rt.7/rw.1, grogol sel., kota jakarta selatan",ChIJeZWj6y7xaS4RkU4hCYZW7ig,Indomaret,Grogol Selatan,Kebayoran Lama,Kota Jakarta Selatan,2,297.81,0,1061.3272924744617,pasar cidodol,0,-1,0.0,-1,0.0412
indomaret melawai 6 no. 17,0.0,0,-6.2443244,106.7993621,"jl. melawai 6 no.17, rt.3/rw.1, melawai, kota jakarta selatan",ChIJZXQ3b1nxaS4RBDCbFsM3GfE,Indomaret,Melawai,Kebayoran Baru,Kota Jakarta Selatan,8,234.41,0,968.9312451456406,pasar mayestik,0,20,1.0,28,0.4147
indomaret ulujami 2,4.3,106,-6.2475986,106.7632979,"jl. ulujami raya jl. h. buang no.gg, rt.1/rw.7, ulujami, kota jakarta selatan",ChIJ4___P-fwaS4RZ-EO8PKFun8,Indomaret,Ulujami,Pesanggrahan,Kota Jakarta Selatan,1,169.83,0,857.0352340382016,pasar pesanggrahan,0,-1,0.0,-1,0.0206
indomaret panglima polim 106,4.7,29,-6.2476908,106.7976133,"jl. panglima polim no.107, rw.5, b-c, kota jakarta selatan",ChIJI3U5C2XxaS4RdRRpbU-heos,Indomaret,b-c,Kebayoran Baru,Kota Jakarta Selatan,8,281.44,0,1036.370451504663,pasar mayestik,0,20,1.0,-1,0.2647
indomaret swadarma 2 {tc5e},4.0,98,-6.236108,106.7608682,"jl. swadarma raya blok haji nuh 1 no.9, rt.10/rw.3, ulujami, kota jakarta selatan",ChIJl0Lx7NzwaS4RvKVM6oOutyw,Indomaret,Ulujami,Pesanggrahan,Kota Jakarta Selatan,8,302.45,0,212.27573488575854,pasar apoh,1,17,1.0,-1,0.6647
indomaret swadarma 3,5.0,4,-6.233315999999999,106.7605835,"jl. swadarma raya no 26 rt 001 rw 008, rt.11/rw.5, ulujami, kota jakarta selatan",ChIJ4___P-fwaS4R-yxrxTiWMmQ,Indomaret,Ulujami,Pesanggrahan,Kota Jakarta Selatan,6,1.1,1,479.57875312104863,pasar apoh,1,17,1.0,-1,0.6235
indomaret palmerah barat 3,4.0,11,-6.207027699999999,106.7847179,"jl. palmerah barat no.3, rt.4/rw.no: 36, grogol utara, kota jakarta selatan",ChIJXX3NcsX2aS4RkMJNDkES6m0,Indomaret,Grogol Utara,Kebayoran Lama,Kota Jakarta Selatan,2,153.88,0,3192.9683558901825,pasar cidodol,0,-1,0.0,-1,0.0412
indomaret simprug,0.0,0,-6.2288581,106.7857419,"jl. rw. simprug iii no.3, rw.9, grogol sel., kota jakarta selatan",ChIJkary8qvxaS4Rxb3W6Gmvnkg,Indomaret,Grogol Selatan,Kebayoran Lama,Kota Jakarta Selatan,1,48.71,1,1459.8400140287604,pasar mayestik,0,-1,0.0,-1,0.0206
indomaret palmerah (pertamina 34.122.05),0.0,0,-6.2083321,106.7882096,"jl. palmerah barat no.35, rt.1/rw.3, grogol utara, kota jakarta selatan",ChIJd51xpy33aS4Rtb1xjVOSXzI,Indomaret,Grogol Utara,Kebayoran Lama,Kota Jakarta Selatan,1,538.2,0,3248.3228751432343,pasar cidodol,0,-1,0.0,-1,0.0206
indomaret,4.5,2,-6.2550721,106.7974134,"jl. darmawangsa raya no.125, rt.2, rt.2/rw.1, pulo, kota jakarta selatan",ChIJwX02iFLxaS4RMQgSCQVBeVQ,Indomaret,Pulo,Kebayoran Baru,Kota Jakarta Selatan,7,110.22,0,1728.5492937406061,pasar mayestik,0,21,0.6351834121826689,23,0.3576
indomaret,4.0,3,-6.2511809,106.7781617,"jl. pahlawan no.2, rw.10, kby. lama utara, kota jakarta selatan",ChIJI231igTxaS4RKIR6Aki7DBw,Indomaret,Kebayoran Lama Utara,Kebayoran Lama,Kota Jakarta Selatan,7,381.06,0,1866.3611308366155,pasar mayestik,0,18,0.8841087019143304,-1,0.2325
indomaret radio dalam. t06c,4.2,18,-6.2523025,106.7913861,"jl. radio dalam raya blok haji hamali no.22, rt.1/rw.9, gandaria utara, kota jakarta selatan",ChIJD3ss9gzxaS4RA85t5OGeHsk,Indomaret,Gandaria Utara,Kebayoran Baru,Kota Jakarta Selatan,8,337.99,0,1286.560475745161,pasar mayestik,0,20,1.0,-1,0.2647
indomaret petogogan (tb49),4.2,24,-6.254561799999999,106.7958583,"jl. petogogan ii no.18, rt.9/rw.5, pulo, kota jakarta selatan",ChIJperbNA3xaS4R4zKGAs61CVs,Indomaret,Pulo,Kebayoran Baru,Kota Jakarta Selatan,6,73.12,0,1615.6315849810994,pasar mayestik,0,21,0.6351834121826689,23,0.337
indomaret sultan iskandar muda,4.2,95,-6.2511828,106.7813003,"jl. sultan iskandar muda no.9, rt.8/rw.1, kby. lama sel., kota jakarta selatan",ChIJ74HObQXxaS4RUip6zNyV5gE,Indomaret,Kebayoran Lama Selatan,Kebayoran Lama,Kota Jakarta Selatan,10,95.65,0,1609.564251889771,pasar mayestik,0,18,1.0,30,0.4559
indomaret petogogan,4.2,21,-6.2503084,106.7941812,"jl. petogogan no.18, gandaria utara, kebayoran baru, pulo, rt.11/rw.7, rt.11/rw.7, pulo, kota jakarta selatan",ChIJ94ljMXPxaS4RH5R1BnmpJP8,Indomaret,Pulo,Kebayoran Baru,Kota Jakarta Selatan,7,45.66,1,1109.0586397714783,pasar mayestik,0,20,1.0,-1,0.2441
indomaret,4.7,7,-6.2534879,106.7758737,"jl. bintaro raya no.17, rt.013/rw.10, kby. lama sel., kota jakarta selatan",ChIJY1VVVQTxaS4RtmETuVP403E,Indomaret,Kebayoran Lama Selatan,Kebayoran Lama,Kota Jakarta Selatan,4,31.06,1,2018.162055707817,pasar sayur cipulir,0,18,0.7604603510489191,-1,0.1584
indomaret tanah kusir 2 dalam tt2d,4.4,269,-6.257153,106.784136,"gg. swadaya iii no.18, rt.10/rw.9, kby. lama sel., kota jakarta selatan",ChIJZbLLdm_xaS4R4cgyDKLeE8k,Indomaret,Kebayoran Lama Selatan,Kebayoran Lama,Kota Jakarta Selatan,3,126.63,0,1993.5782312135277,pasar mayestik,0,18,0.5634943054780033,30,0.2681
indomaret praja dalam k,4.1,17,-6.2505751,106.7834542,"jl. praja dalam k no.18, rt.9/rw.5, kby. lama sel., kota jakarta selatan",ChIJOwAAAAfxaS4RKTnNaZ1qgc4,Indomaret,Kebayoran Lama Selatan,Kebayoran Lama,Kota Jakarta Selatan,8,118.6,0,1401.6408814388699,pasar mayestik,0,18,1.0,30,0.4147
indomaret grand wijaya. t98c,4.2,55,-6.2532473,106.7993526,"grand wijaya blok b10, jl. wijaya ii, rt.6/rw.1, pulo, kota jakarta selatan",ChIJT8Q48HPxaS4RHGBGXmOUqp0,Indomaret,Pulo,Kebayoran Baru,Kota Jakarta Selatan,5,242.22,0,1647.4258192433163,pasar mayestik,0,21,0.6351834121826689,23,0.3165
indomaret panglima polim 125b t3pi,4.0,5,-6.2550595,106.7974126,"jl. panglima polim no.125a, rt.2/rw.1, pulo, kota jakarta selatan",ChIJb-Coe5PxaS4Rq13QTJ2nq04,Indomaret,Pulo,Kebayoran Baru,Kota Jakarta Selatan,7,109.88,0,1727.2227909653109,pasar mayestik,0,21,0.6351834121826689,23,0.3576
indomaret anggrek petukangan,4.0,10,-6.231106,106.7557339,"jl. anggrek, rt.7/rw.5, petukangan utara, kota jakarta selatan",ChIJz6qqqsnwaS4R5k7p_0d1KX8,Indomaret,Petukangan Utara,Pesanggrahan,Kota Jakarta Selatan,3,348.19,0,540.6925550387896,pasar alfa indah,0,17,0.8174629027602082,-1,0.1435
indomaret saidi raya,4.2,13,-6.241212699999999,106.7563251,"jl. m.saidi raya no: 62 rt. 009 / rw. 01, petukangan selatan, pasanggrahan, rt.7/rw.5, petukangan sel., kota jakarta selatan",ChIJe35tSOjwaS4R6QeisbhjlkM,Indomaret,Petukangan Selatan,Pesanggrahan,Kota Jakarta Selatan,4,45.4,1,545.6790898053368,pasar apoh,0,17,0.8896997000623539,-1,0.1713
indomaret saidi raya 2. tckr,4.3,121,-6.2451289,106.7569883,"no., jl. m. saidi raya no.54, rt.1/rw.5, petukangan sel., kota jakarta selatan",ChIJAZgxPO_waS4RSgVSHG9MFBc,Indomaret,Petukangan Selatan,Pesanggrahan,Kota Jakarta Selatan,2,397.27,0,739.2902963751305,pasar pesanggrahan,0,17,0.8306851426284843,-1,0.1242
indomaret ciledug raya. trl0,4.3,256,-6.2364187,106.7579387,"jl. ciledug raya no.51, rt.6/rw.4, petukangan utara, kota jakarta selatan",ChIJCfldOcPwaS4RtrLi0yMazkU,Indomaret,Petukangan Utara,Pesanggrahan,Kota Jakarta Selatan,8,122.9,0,216.514370112698,pasar apoh,1,17,1.0,31,0.8147
indomaret kostrad pusri,4.8,17,-6.2337088,106.7574351,"jl. kostrad pusri (sp.mitra diskon) no. 2a, petukangan utara, pasanggrahan, rt.2/rw.11, north petukangan, kota jakarta selatan",ChIJz6qqqsnwaS4RAC370aGrhq4,Indomaret,North Petukangan,Pesanggrahan,Kota Jakarta Selatan,8,11.5,1,483.46742351583174,pasar apoh,1,17,1.0,31,0.8147
indomaret pesanggrahan bintaro (tp12),4.1,20,-6.254884199999999,106.7566629,"jalan uluhjami, rt.12/rw.6, pesanggrahan, rt.12/rw.6, pesanggrahan, rt.12/rw.6, pesanggrahan, kota jakarta selatan",ChIJex_w2-_waS4R6VXC2vkXSFA,Indomaret,Pesanggrahan,Pesanggrahan,Kota Jakarta Selatan,0,565.44,0,346.052420208375,pasar pesanggrahan,1,-1,0.0,-1,0.4
indomaret swadarma 1. texu,4.5,60,-6.228395799999999,106.7606678,"qqc6+j7v, jl. swadarma raya, rt.1/rw.2, ulujami, kota jakarta selatan",ChIJOwckatDwaS4RpIzxDLhO1EM,Indomaret,Ulujami,Pesanggrahan,Kota Jakarta Selatan,3,83.32,0,684.9770319533551,pasar alfa indah,0,17,0.7908469633002235,-1,0.1408
indomaret pesanggrahan permai,3.9,15,-6.237529299999999,106.7545527,"jl. pesanggrahan iv, rt.1/rw.7, petukangan sel., kota jakarta selatan",ChIJz6qqqsnwaS4RxD9ldK9oKKo,Indomaret,Petukangan Selatan,Pesanggrahan,Kota Jakarta Selatan,9,265.77,0,553.7614113334199,pasar apoh,0,17,1.0,38,0.4353
indomaret palem raya. fgul,4.4,97,-6.2262773,106.7574534,"jl. palem raya no.3, petukangan utara, kota jakarta selatan",ChIJH36UOM7waS4RPJe-iO0msh0,Indomaret,Petukangan Utara,Pesanggrahan,Kota Jakarta Selatan,5,2.65,1,289.93059827660994,pasar alfa indah,1,17,0.8023238742148047,-1,0.5832
"indomaret, taman alfa indah. t039",4.4,163,-6.2241206,106.7548738,"jl. taman alfa indah blok k. 1 no.46-47, rt.10/rw.7, petukangan utara, kota jakarta selatan",ChIJe6ZjJMzwaS4RkAqiCOaJD-E,Indomaret,Petukangan Utara,Pesanggrahan,Kota Jakarta Selatan,4,370.33,0,245.38643728278686,pasar alfa indah,1,17,0.8023238742148047,-1,0.5626
indomaret,4.6,23,-6.240787699999999,106.7915935,"jl. tebah ii no.29, rt.13/rw.3, gunung, kota jakarta selatan",ChIJS27Tds_xaS4R_ZcfY1bc7Eo,Indomaret,Gunung,Kebayoran Baru,Kota Jakarta Selatan,2,198.73,0,24.83905076687479,pasar mayestik,1,-1,0.0,-1,0.4412
indomaret rc veteran 13,4.4,8,-6.2576627,106.7683716,"4 no.10, rt.4/rw.10, bintaro, kota jakarta selatan",ChIJhw7nnzDxaS4RVsy9lGn0S7U,Indomaret,Bintaro,Pesanggrahan,Kota Jakarta Selatan,4,87.03,0,1438.7845337460892,pasar pesanggrahan,0,8,1.0,-1,0.1824
indomaret melawai iv no 52,5.0,2,-6.2454911,106.80124,"3, jl. melawai iv no.52, rw.1, melawai, kota jakarta selatan",ChIJaWy44RjxaS4RORWqDRtDtk0,Indomaret,Melawai,Kebayoran Baru,Kota Jakarta Selatan,8,16.59,1,1211.9663607612708,pasar mayestik,0,20,1.0,28,0.4147
indomaret hasanudin 57,4.0,4,-6.2425243,106.8022062,"jl. sultan hasanudin no.53, rt.2/rw.1, melawai, kota jakarta selatan",ChIJ-ZfljI_xaS4RYqEvAOKUxi0,Indomaret,Melawai,Kebayoran Baru,Kota Jakarta Selatan,9,104.09,0,1213.6168009623627,pasar mayestik,0,20,1.0,28,0.4353
indomaret melawai,4.4,110,-6.246081800000001,106.7998046,"jl. melawai raya no.17 melawai, kebayoran lama, rt.2/rw.1, melawai, kota jakarta selatan",ChIJq2YU5W7xaS4RKF6o-6Mc-uA,Indomaret,Melawai,Kebayoran Baru,Kota Jakarta Selatan,7,176.55,0,1105.382459730321,pasar mayestik,0,20,1.0,28,0.3941
indomaret fave melawai (fm6s),0.0,0,-6.244421399999999,106.8015382,"jl. melawai iv no.3-11, rt.3/rw.1, melawai, kota jakarta selatan",ChIJZ_9u5ZDxaS4RtzyeEc5s00A,Indomaret,Melawai,Kebayoran Baru,Kota Jakarta Selatan,8,108.44,0,1195.8657857483477,pasar mayestik,0,20,1.0,28,0.4147
indomaret spbu bintaro,4.6,48,-6.261597099999999,106.7569951,"pqq4+8rr, unnamed road, rt.6/rw.3, pesanggrahan, kota jakarta selatan",ChIJEf3pk_rxaS4R4b0T-ousRiQ,Indomaret,Pesanggrahan,Pesanggrahan,Kota Jakarta Selatan,2,739.89,0,1092.5051246656628,pasar pesanggrahan,0,-1,0.0,-1,0.0412
indomaret damai pesanggrahan,4.4,102,-6.2487206,106.754172,"jl. damai raya no.5, rt.5/rw.5, petukangan sel., kota jakarta selatan",ChIJL-ueae7waS4RrdvbPbIBUlw,Indomaret,Petukangan Selatan,Pesanggrahan,Kota Jakarta Selatan,3,310.75,0,445.4783086947758,pasar pesanggrahan,1,17,0.8530439952200279,-1,0.5471
haji indomaret enting. {ts90},3.3,20,-6.2579731,106.8006317,"gg. h. enting no.1, rt.10/rw.1, cipete utara, kota jakarta selatan",ChIJDwH5C3bxaS4RcxF4-cn7X5g,Indomaret,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan,6,249.3,0,2173.0160126902338,pasar mayestik,0,21,0.6067526354420981,-1,0.1842
indomaret puspita raya,4.5,124,-6.263565799999999,106.7568792,"jl. bintaro puspita raya no.9, rt.9/rw.2, pesanggrahan, kota jakarta selatan",ChIJN6SvsVnwaS4R7Dvnqx_sr4M,Indomaret,Pesanggrahan,Pesanggrahan,Kota Jakarta Selatan,1,725.82,0,1311.2031945120598,pasar pesanggrahan,0,-1,0.0,-1,0.0206
indomaret duta mas fatmawati,4.5,62,-6.263351900000001,106.7986876,"jl. rs. fatmawati raya no.15, rw.5, cipete utara, kota jakarta selatan",ChIJAQAAAJ3xaS4R3VfdB1vHqnw,Indomaret,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan,8,294.44,0,1967.5560366944994,pasar cipete selatan,0,21,0.7617039466349764,18,0.3909
