nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,store,nama_kelurahan,nama_kecamatan,nama_kota,competitor_density_500m,jarak_kompetitor_meter,kompetitor_head_to_head,jarak_pasar_meter,pasar_terdekat,pelanggaran_zonasi,cluster_hdbscan_makro,cluster_hdbscan_prob,cluster_dbscan_hotspot,spatial_risk_score
indomaret minangkabau dalam,4.2,195,-6.215694699999999,106.8422542,"jl. minangkabau dalam no.1, rt.4/rw.14, menteng atas, kota jakarta selatan",ChIJt9agVXX0aS4RMX9VQephLU0,Indomaret,Menteng Atas,Setiabudi,Kota Jakarta Selatan,11,196.53,0,1400.2860428433303,pasar jaya bukit duri,0,23,1.0,0,0.4765
indomaret kampung melayu besar,4.2,9,-6.2252467,106.8628154,"jl. kampung melayu besar no.18 rt. 10 / rw. 02, kebon baru, tebet, rt.1/rw.1, kb. baru, kota jakarta selatan",ChIJD391JYPzaS4RQJHI5zLfWfg,Indomaret,Kebon Baru,Tebet,Kota Jakarta Selatan,11,55.61,0,1093.4369633157166,pasar bengong,0,22,0.37037418861301413,3,0.4135
indomaret wisma staco,5.0,2,-6.2246197,106.8401752,"wisma staco, jl. raya casablanca no.4, rt.4/rw.12, menteng dalam, kota jakarta selatan",ChIJTYdPFlzzaS4R4JoaMHSAiPY,Indomaret,Menteng Dalam,Tebet,Kota Jakarta Selatan,1,787.3,0,1762.009629356285,pasar jaya bukit duri,0,-1,0.0,-1,0.0206
indomaret permata kuningan,3.0,7,-6.2123971,106.8336757,"jalan kuningan mulia kav. 9c, kel. guntur, kec. setiabudi, rt.6/rw.1, menteng atas, rt.6/rw.1, menteng atas, kota jakarta selatan",ChIJw___Pw70aS4RWR0PfuJ3EbQ,Indomaret,Menteng Atas,Setiabudi,Kota Jakarta Selatan,4,484.87,0,822.4788644783212,pasar mencos,0,24,0.830710389463648,-1,0.1654
indomaret - manggarai tb98,3.9,17,-6.2093992,106.8477239,"jl. dr. saharjo no.11d, rt.2/rw.5, manggarai, kota jakarta selatan",ChIJC_j2enH0aS4RLYqRmKfTNwU,Indomaret,Manggarai,Tebet,Kota Jakarta Selatan,4,297.16,0,1234.7333895067998,pasar jaya bukit duri,0,-1,0.0,4,0.2324
indomaret casablanca,3.7,22,-6.2250076,106.8428196,"jalan casablanca, rt. 07 / rw. 11, menteng dalam, tebet, rt.7/rw.11, menteng dalam, kota jakarta selatan",ChIJVaFRO43zaS4R9wZv9oxkGeI,Indomaret,Menteng Dalam,Tebet,Kota Jakarta Selatan,4,669.13,0,1522.0167168023652,pasar jaya bukit duri,0,22,0.31544001789044473,5,0.2639
indomaret tebet barat in tk29,4.2,149,-6.2383462,106.847226,"jl. tebet barat dalam ivd no.88, rw.6, tebet bar., kota jakarta selatan",ChIJ7ahV373zaS4Rm9rs7VrGTVg,Indomaret,Tebet Barat,Tebet,Kota Jakarta Selatan,2,554.26,0,1127.3343205320784,pasar pspt,0,-1,0.0,-1,0.0412
indomaret point stasiun manggarai,3.9,21,-6.2091042,106.8495212,"stasiun kereta api manggarai kebon manggis, rt.15/rw.4, manggarai, kota jakarta selatan",ChIJ4zoAOE7yaS4RTmrqJf3bbYg,Indomaret,Manggarai,Tebet,Kota Jakarta Selatan,3,132.88,0,1149.9156983910318,pasar jaya bukit duri,0,-1,0.0,4,0.2118
indomaret plaza festival,3.4,10,-6.2212209,106.8328964,"qrhm+g56, rt.2/rw.5, karet kuningan, kota jakarta selatan",ChIJMUTCa23zaS4RHTh8p6ntkmM,Indomaret,Karet Kuningan,Setiabudi,Kota Jakarta Selatan,3,273.55,0,1116.2747856005346,pasar mencos,0,-1,0.0,-1,0.0618
indomaret pal batu 36,4.3,70,-6.2247397,106.8447512,"jl. pal batu raya no.36, rt.13/rw.4, menteng dalam, kota jakarta selatan",ChIJtX8wqY3zaS4RTpmMPQzAFbg,Indomaret,Menteng Dalam,Tebet,Kota Jakarta Selatan,3,509.89,0,1325.3735228552896,pasar jaya bukit duri,0,-1,0.0,5,0.2118
