store,nama_tempat,latitude,longitude,competitor_density_500m,jarak_kompetitor_meter,kompetitor_head_to_head,cluster_hdbscan_prob,is_hotspot,pasar_density_500m,retail_vs_pasar_ratio,pelanggaran_zonasi,jarak_pasar_meter,pasar_terdekat,spatial_risk_score,cluster_dbscan_raw,cluster_hdbscan_makro
Indomaret,indomaret kp melayu jembatan,-6.2261166,106.8638063,4,179.77,0,0.37037418861301413,1,0,4.0,0,993.4084999660737,pasar bengong,0.4917,3,22
Indomaret,indomaret pengadegan timur,-6.248453899999999,106.8587205,8,74.95,0,0.8663708893647858,0,1,4.0,1,323.65767977779893,pasar kaget pengadegan,0.4086,-1,15
Indomaret,indomaret pangadegan utara,-6.2459671,106.8555993,8,9.09,1,1.0,1,0,8.0,0,517.9688893165109,pasar kaget pengadegan,0.7353,6,15
Indomaret,indomaret pancoran 7,-6.2497874,106.8365148,5,22.24,1,1.0,1,0,5.0,0,646.402175549674,pasar ar riyadh,0.6471,7,9
Indomaret,indomaret mt haryono,-6.2422974,106.8551682,9,86.33,0,1.0,1,0,9.0,0,824.060339862551,pasar pspt,0.7647,8,15
Indomaret,indomaret,-6.2467067,106.8549365,8,47.6,1,0.8820514495885025,1,1,4.0,1,462.9511950200611,pasar kaget pengadegan,0.7117,6,15
Indomaret,indomaret signature park,-6.242484,106.854727,9,36.36,1,1.0,1,0,9.0,0,856.5333549268811,pasar pspt,0.7647,8,15
Indomaret,indomaret of pengadegan,-6.2516495,106.849876,2,22.65,1,0.0,0,0,2.0,0,758.965337233193,pasar kaget pengadegan,0.0588,-1,-1
Indomaret,indomaret - spbu pancoran tjrt,-6.246947,106.8424352,1,95.25,0,0.0,0,0,1.0,0,989.0655038421105,pasar ar riyadh,0.0294,-1,-1
Indomaret,indomaret pancoran barat 7 tfpc,-6.251975799999999,106.8368081,6,138.95,0,1.0,1,0,6.0,0,860.7460401102251,pasar kaget,0.6765,7,9
Indomaret,indomaret tower 1,-6.2514995,106.861901,6,6.21,1,0.8663708893647858,1,0,6.0,0,591.2761004829921,pasar kaget pengadegan,0.6497,9,15
Indomaret,indomaret,-6.2113771,106.8413589,11,104.0,0,0.9750076742567914,1,0,11.0,0,1651.5503274754735,pasar jaya bukit duri,0.8185,1,23
Indomaret,indomaret apartemen casablanca,-6.2232986,106.8453453,5,420.87,0,0.33980914047647914,1,0,5.0,0,1185.2548658393653,pasar jaya bukit duri,0.515,5,22
Indomaret,indomaret duren tiga raya. tuoi,-6.2534709,106.8404797,4,39.3,1,0.8515182977207941,0,0,4.0,0,750.5649401522866,pasar kaget,0.288,-1,9
Indomaret,indomaret tegal parang. t986,-6.2464648,106.8322217,8,98.2,0,1.0,1,1,4.0,1,266.8832027476065,pasar ar riyadh,0.7353,10,9
Indomaret,indomaret tegal parang 2. ts86,-6.2441983,106.8324248,7,67.22,0,1.0,1,1,3.5,1,159.06802391897284,pasar ar riyadh,0.7059,10,9
Indomaret,indomaret pancoran barat 34,-6.251983999999999,106.8367253,6,144.87,0,1.0,1,0,6.0,0,861.0148665007803,pasar kaget,0.6765,7,9
Indomaret,indomaret mampang 8. t5wi,-6.2477205,106.8306366,8,146.46,0,1.0,1,1,4.0,1,488.73991561727854,pasar ar riyadh,0.7353,10,9
Indomaret,indomaret tower 3,-6.2523677,106.8615916,5,107.15,0,0.8663708893647858,1,0,5.0,0,584.5144594328129,pasar kaget pengadegan,0.6203,9,15
Indomaret,indomaret apartemen pancoran riverside ftnt,-6.251923499999999,106.8616752,5,57.55,0,0.8663708893647858,1,0,5.0,0,577.801898157479,pasar kaget pengadegan,0.6203,9,15
Indomaret,indomaret tower 2,-6.2516153,106.861321,6,64.55,0,0.8663708893647858,1,0,6.0,0,531.2632613359776,pasar kaget pengadegan,0.6497,9,15
Indomaret,indomaret plus tebet timur dalam,-6.2403194,106.8557598,6,302.15,0,1.0,1,0,6.0,0,595.1161855923971,pasar pspt,0.6765,8,15
Indomaret,indomaret,-6.248328,106.8240323,4,346.16,0,0.881024937160995,0,0,4.0,0,766.9016698098086,pasar warung buncit,0.2939,-1,9
Indomaret,indomaret stasiun tebet,-6.227752,106.8563415,12,162.02,0,0.4036141183477619,1,0,12.0,0,817.5962015849634,pasar pspt,0.7337,2,22
Indomaret,indomaret plus,-6.2212663,106.8270455,5,437.83,0,0.9199618318185165,1,0,5.0,0,842.6966496457486,pasar karbela,0.6311,11,24
Indomaret,indomaret point,-6.2331067,106.8230684,3,333.5,0,1.0,0,0,3.0,0,1243.8655318797935,pasar santa,0.2882,-1,10
Indomaret,indomaret itc kuningan,-6.2235581,106.8259947,3,515.58,0,0.0,1,0,3.0,0,1089.2461671947262,pasar karbela,0.3882,11,-1
Indomaret,indomaret pedurenan,-6.2222333,106.8261754,3,579.78,0,0.0,1,0,3.0,0,942.1839413481543,pasar karbela,0.3882,11,-1
Indomaret,indomaret ciputat raya 2a -b,-6.239546799999999,106.8263501,1,418.15,0,0.0,0,0,1.0,0,998.9195028024985,pasar ar riyadh,0.0294,-1,-1
Indomaret,indomaret guru mughni,-6.2269641,106.8213717,5,254.5,0,1.0,0,0,5.0,0,1539.0498357585582,pasar santa,0.3471,-1,10
Indomaret,indomaret karbela,-6.216086199999999,106.8232321,6,317.78,0,1.0,0,2,2.0,1,398.70834859673266,pasar karbela,0.3765,-1,24
Indomaret,indomaret dr satrio 289,-6.2177327,106.8196168,5,175.94,0,0.9162994630025649,1,0,5.0,0,830.3666410989828,pasar karbela,0.6303,12,24
Indomaret,indomaret pondok jaya mampang,-6.2494907,106.8214751,5,169.81,0,0.881024937160995,0,0,5.0,0,775.664895818867,pasar warung buncit,0.3233,-1,9
Indomaret,indomaret mampang 7,-6.248328099999999,106.824029,4,346.38,0,0.881024937160995,0,0,4.0,0,766.98257554103,pasar warung buncit,0.2939,-1,9
Indomaret,indomaret,-6.223765999999999,106.826793,4,426.68,0,0.9199618318185165,1,0,4.0,0,1115.9964781465999,pasar karbela,0.6016,11,24
Indomaret,indomaret bek murad fz7m,-6.216343999999999,106.8201923,5,19.49,1,1.0,1,0,5.0,0,701.1241030189184,pasar karbela,0.6471,12,24
Indomaret,indomaret bangka 2b,-6.242254099999999,106.8196646,6,256.55,0,0.8460911098366846,1,0,6.0,0,882.6266730733837,pasar santa,0.6457,45,9
Indomaret,indomaret point,-6.2440509,106.8161762,6,0.22,1,0.8460911098366846,1,0,6.0,0,764.374399367553,pasar santa,0.6457,13,9
Indomaret,indomaret kemang utara. tc87,-6.2541381,106.8269373,3,149.47,0,0.727871911335447,1,1,1.5,1,160.60113942794567,pasar warung buncit,0.5338,14,9
Indomaret,indomaret,-6.247488499999999,106.8149378,7,405.8,0,0.8460911098366846,0,0,7.0,0,1080.4851951385376,pasar santa,0.3751,-1,9
Indomaret,indomaret fresh,-6.243758199999999,106.8163851,6,40.1,1,0.8460911098366846,1,0,6.0,0,747.2801657230066,pasar santa,0.6457,13,9
Indomaret,indomaret pasar minggu 15b (ffdq),-6.2607737,106.8428871,2,133.13,0,0.5446973023776196,0,0,2.0,0,579.5891824894572,pasar kaget,0.1678,-1,13
Indomaret,indomaret - tower damar,-6.257493999999999,106.8528125,9,26.97,1,1.0,1,0,9.0,0,884.8689291748774,pasar kaget pengadegan,0.7647,15,13
Indomaret,indomaret,-6.2614906,106.840841,4,119.13,0,1.0,0,1,2.0,1,396.3863585013538,pasar kaget,0.3176,-1,14
Indomaret,indomaret,-6.2577016,106.8535744,9,108.25,0,1.0,1,0,9.0,0,868.9774870449213,pasar kaget pengadegan,0.7647,15,13
Indomaret,indomaret tower rafles,-6.2572773,106.850916,7,132.31,0,1.0,1,0,7.0,0,983.72293649723,pasar kaget pengadegan,0.7059,15,13
Indomaret,indomaret of rawajati,-6.2628099,106.8520926,3,339.58,0,0.672785703058275,0,0,3.0,0,1457.5792910678986,pasar kaget pengadegan,0.2228,-1,13
Indomaret,indomaret tower cendana,-6.2584634,106.8533232,9,148.62,0,1.0,1,0,9.0,0,957.8311600068528,pasar kaget pengadegan,0.7647,15,13
Indomaret,indomaret h.maun,-6.258863799999999,106.8375135,2,533.36,0,0.8649662758470895,0,1,1.0,1,92.58311053229849,pasar kaget,0.2318,-1,14
Indomaret,indomaret,-6.2563574,106.8502356,6,183.23,0,1.0,1,0,6.0,0,961.8186828166556,pasar kaget pengadegan,0.6765,15,13
Indomaret,indomaret point stasiun kalibata,-6.255365599999999,106.8549931,6,143.03,0,1.0,0,0,6.0,0,570.2210503596061,pasar kaget pengadegan,0.3765,-1,13
Indomaret,indomaret kemang timur raya {t01a},-6.2681964,106.8239824,2,215.0,0,0.0,0,0,2.0,0,1480.2461018180707,pasar warung buncit,0.0588,-1,-1
Indomaret,indomaret,-6.2627434,106.830664,3,349.19,0,0.8042464688945224,0,0,3.0,0,856.5928814062976,pasar kaget,0.2491,-1,14
Indomaret,indomaret angsana,-6.2720279,106.8486037,4,8.15,1,0.0,1,0,4.0,0,1824.048318246342,pasar kaget,0.4176,16,-1
Indomaret,indomaret warung jati,-6.2694594,106.8377558,5,24.49,1,1.0,0,0,5.0,0,1089.8679337967192,pasar kaget,0.3471,-1,14
Indomaret,indomaret warga siaga,-6.272292699999999,106.8391874,5,90.81,0,1.0,0,0,5.0,0,1413.68600864,pasar kaget,0.3471,-1,14
Indomaret,indomaret,-6.2518104,106.8145478,4,65.41,0,0.7883089672604695,0,0,4.0,0,1290.7224546737648,pasar warung buncit,0.2753,-1,9
Indomaret,indomaret spbu kemang,-6.2668841,106.8157034,2,597.01,0,0.6371508251636194,0,0,2.0,0,1537.8600547366188,pasar cipete selatan,0.1863,-1,9
Indomaret,indomaret buncit warung jati. {t8nd},-6.262678699999999,106.8306876,3,344.5,0,0.8017165056018936,0,0,3.0,0,851.339354819694,pasar kaget,0.2486,-1,14
Indomaret,indomaret warung jati,-6.2613007,106.8289744,2,514.12,0,0.9429817297234564,0,0,2.0,0,784.4371515562996,pasar warung buncit,0.2474,-1,14
Indomaret,kemang timur indomaret,-6.2639511,106.8236563,2,259.08,0,0.0,0,0,2.0,0,1022.0529647695179,pasar warung buncit,0.0588,-1,-1
Indomaret,indomaret point kemang,-6.2602656,106.815172,2,438.96,0,0.6543790137412634,0,0,2.0,0,1309.836853076379,pasar warung buncit,0.1897,-1,9
Indomaret,indomaret kemang mampang tjkc,-6.2555529,106.8123381,3,426.42,0,0.6230549886230525,0,0,3.0,0,1486.4063263523085,pasar warung buncit,0.2128,-1,9
Indomaret,indomaret kemang selatan 8 t6zo,-6.2674666,106.8139114,3,410.92,0,0.653585036875727,0,0,3.0,0,1380.6108512449564,pasar cipete selatan,0.219,-1,9
Indomaret,fresh indomaret kemang,-6.272597699999999,106.8149503,2,51.52,0,0.593647981118296,0,0,2.0,0,1002.3750402522509,pasar cipete selatan,0.1776,-1,9
Indomaret,indomaret birah senayan,-6.2353007,106.8152731,2,413.77,0,0.0,0,1,1.0,1,393.93395016595514,pasar santa,0.0588,-1,-1
Indomaret,indomaret,-6.255084,106.8144756,4,298.69,0,0.7883089672604695,0,0,4.0,0,1248.920359807119,pasar warung buncit,0.2753,-1,9
Indomaret,indomaret apartemen kemang jaya,-6.2646261,106.813776,4,437.69,0,0.6543790137412634,0,0,4.0,0,1660.0575692044242,pasar cipete selatan,0.2485,-1,9
Indomaret,indomaret point kemang (argo promosi),-6.2617066,106.8155229,2,552.46,0,0.6543790137412634,0,0,2.0,0,1356.257470647594,pasar warung buncit,0.1897,-1,9
Indomaret,indomaret kalibata utara,-6.2604007,106.837657,4,466.48,0,1.0,0,1,2.0,1,83.44289576426259,pasar kaget,0.3176,-1,14
Indomaret,indomaret pasar minggu,-6.2804467,106.844865,0,539.08,0,0.0,0,0,0.0,0,1154.0936691420736,pasar minggu,0.0,-1,-1
Indomaret,indomaret point ampera,-6.2819344,106.8197334,0,530.16,0,0.0,0,0,0.0,0,1351.9737517644037,pasar cipete selatan,0.0,-1,-1
Indomaret,indomaret,-6.2794572,106.8335032,3,163.24,0,0.0,1,0,3.0,0,1335.7743836087006,pasar minggu,0.3882,46,-1
Indomaret,indomaret,-6.275748999999999,106.8414378,3,125.35,0,0.7928191750421003,0,0,3.0,0,1549.9342194214375,pasar minggu,0.2468,-1,14
Indomaret,indomaret cikajang. f4o3,-6.2394178,106.8107532,3,74.49,0,0.0,1,1,1.5,1,289.8095694767695,pasar santa,0.3882,17,-1
Indomaret,indomaret cipaku 1 no. 33,-6.239303899999999,106.8121988,3,232.55,0,0.6961530559660932,1,1,1.5,1,168.65869299907916,pasar santa,0.5275,17,9
Indomaret,indomaret wolter mongonsidi,-6.2385571,106.817085,3,0.04,1,0.7603119017441269,1,1,1.5,1,462.9116835757973,pasar santa,0.5403,45,9
Indomaret,indomaret,-6.2258532,106.8588152,16,6.21,1,1.0,1,0,16.0,0,977.3941733513097,pasar jaya bukit duri,0.9706,2,22
Indomaret,indomaret hybrid pejaten raya,-6.279562299999999,106.8367311,3,95.15,0,0.8565464477500906,1,0,3.0,0,1172.9993534295754,pasar minggu,0.5595,46,14
Indomaret,indomaret fatmawati 33d,-6.2664857,106.7975475,12,46.97,1,1.0,1,0,12.0,0,1761.0174065272306,pasar cipete selatan,0.8529,18,21
