latitude,longitude,competitor_density_500m,jarak_kompetitor_meter,kompetitor_head_to_head,zona_kmeans,pelanggaran_zonasi
-6.214337,106.8312134,5,363.51144140963186,0,1,0
-6.2160036,106.8440714,10,134.85136522111844,0,1,0
-6.2325019,106.8444327,2,418.5732382004027,0,1,0
-6.2242003,106.8525338,6,297.80945625246875,0,1,0
-6.2106207,106.8419454,10,43.61150105837479,1,1,0
-6.216285699999999,106.843786,10,113.12852723461643,0,1,0
-6.2113933,106.8415987,11,82.61789363040717,0,1,0
-6.2383118,106.850335,2,485.6915558922763,0,1,0
-6.2258963,106.8575556,12,120.65976016168132,0,1,0
-6.2086144,106.8368663,2,390.46160587292917,0,1,0
-6.230342299999999,106.8514366,4,221.0008554603816,0,1,0
-6.2204901,106.8472328,6,323.7467146384801,0,1,0
-6.2240566,106.8527215,6,274.93810407436945,0,1,0
-6.214204,106.8409467,15,81.1155917674753,0,1,0
-6.236383699999999,106.8568272,5,162.63206277047183,0,1,1
-6.2258324,106.858882,16,11.994381940238707,1,1,0
-6.208247399999999,106.8327765,3,681.10002696673,0,1,0
-6.215694699999999,106.8422542,11,196.53118901867438,0,1,0
-6.2252467,106.8628154,11,55.61256591348129,0,1,0
-6.2246197,106.8401752,1,787.3013206581497,0,1,0
-6.2123971,106.8336757,4,484.8708939521305,0,1,0
-6.2093992,106.8477239,4,297.1573083847687,0,1,0
-6.2250076,106.8428196,4,669.1313369927741,0,1,0
-6.2383462,106.847226,2,554.2639999640442,0,1,0
-6.2091042,106.8495212,3,132.88286327234644,0,1,0
-6.2212209,106.8328964,3,273.54705149081593,0,1,0
-6.2247397,106.8447512,3,509.894533815266,0,1,0
-6.2336278,106.8395619,1,104.45089484082146,0,1,0
-6.2186328,106.8300399,7,39.73091738027456,1,1,0
-6.224636500000001,106.8590463,16,133.2655695186531,0,1,0
-6.229205299999999,106.8474494,3,82.86520106838067,0,1,0
-6.2255444,106.8622325,11,116.12403815919545,0,1,0
-6.2389963,106.8602569,5,110.4432373664048,0,1,0
-6.239277899999999,106.8456902,1,734.0151188939948,0,1,0
-6.223185200000001,106.8461687,5,330.3960048688671,0,1,0
-6.2256068,106.8622342,11,121.31400434945283,0,1,0
-6.2101278,106.8312488,3,513.2015250497699,0,1,0
-6.2261166,106.8638063,4,179.76698068839184,0,1,0
-6.248453899999999,106.8587205,8,74.95103084935104,0,1,1
-6.2459671,106.8555993,8,9.085423983248546,1,1,0
-6.2497874,106.8365148,5,22.24490509382048,1,1,0
-6.2422974,106.8551682,9,86.32991428324233,0,1,0
-6.2467067,106.8549365,8,47.6031223648408,1,1,1
-6.242484,106.854727,9,36.35983685934132,1,1,0
-6.2516495,106.849876,2,22.64822138996438,1,1,0
-6.246947,106.8424352,1,95.25279588154534,0,1,0
-6.251975799999999,106.8368081,6,138.94946803219958,0,1,0
-6.2514995,106.861901,6,6.205911389324194,1,1,0
-6.2113771,106.8413589,11,103.99787889683881,0,1,0
-6.2232986,106.8453453,5,420.8694342292986,0,1,0
-6.2534709,106.8404797,4,39.30271035248048,1,1,0
-6.2464648,106.8322217,8,98.19607286516673,0,1,1
-6.2441983,106.8324248,7,67.21706793731336,0,1,1
-6.251983999999999,106.8367253,6,144.86912983869158,0,1,0
-6.2477205,106.8306366,8,146.45924404475758,0,1,1
-6.2523677,106.8615916,5,107.15451561220922,0,1,0
-6.251923499999999,106.8616752,5,57.550494687487756,0,1,0
-6.2516153,106.861321,6,64.54832864321912,0,1,0
-6.2403194,106.8557598,6,302.15381832836727,0,1,0
-6.248328,106.8240323,4,346.1595936361145,0,1,0
-6.227752,106.8563415,12,162.0204931153346,0,1,0
-6.2212663,106.8270455,5,437.83043515877125,0,1,0
-6.2331067,106.8230684,3,333.4969937126719,0,1,0
-6.2235581,106.8259947,3,515.5784928026255,0,1,0
-6.2222333,106.8261754,3,579.7834486081103,0,1,0
-6.239546799999999,106.8263501,1,418.1496003750613,0,1,0
-6.2269641,106.8213717,5,254.4975775357791,0,1,0
-6.216086199999999,106.8232321,6,317.781907348844,0,1,1
-6.2177327,106.8196168,5,175.94189766406384,0,1,0
-6.2494907,106.8214751,5,169.8067269774109,0,1,0
-6.248328099999999,106.824029,4,346.3753163337799,0,1,0
-6.223765999999999,106.826793,4,426.6761240959198,0,1,0
-6.216343999999999,106.8201923,5,19.48879434383072,1,1,0
-6.242254099999999,106.8196646,6,256.55406505392176,0,1,0
-6.2440509,106.8161762,6,0.21584758889440006,1,1,0
-6.2541381,106.8269373,3,149.4694587189888,0,1,1
-6.247488499999999,106.8149378,7,405.80168954683035,0,1,0
-6.243758199999999,106.8163851,6,40.103899446037694,1,1,0
-6.2607737,106.8428871,2,133.1278167814521,0,1,0
-6.257493999999999,106.8528125,9,26.968405362055105,1,1,0
-6.2614906,106.840841,4,119.13236055980857,0,1,1
-6.2577016,106.8535744,9,108.2545091553126,0,1,0
-6.2572773,106.850916,7,132.3121755459827,0,1,0
-6.2628099,106.8520926,3,339.583373716312,0,1,0
-6.2584634,106.8533232,9,148.62331879078909,0,1,0
-6.258863799999999,106.8375135,2,533.357097583693,0,1,1
-6.2563574,106.8502356,6,183.23314094059683,0,1,0
-6.255365599999999,106.8549931,6,143.02608059253453,0,1,0
-6.2681964,106.8239824,2,215.00080856233396,0,1,0
-6.2627434,106.830664,3,349.1871910605913,0,1,0
-6.2720279,106.8486037,4,8.147281370021963,1,1,0
-6.2694594,106.8377558,5,24.488830817165756,1,1,0
-6.272292699999999,106.8391874,5,90.81015566184084,0,1,0
-6.2518104,106.8145478,4,65.4063235163969,0,1,0
-6.2668841,106.8157034,2,597.0052031200527,0,1,0
-6.262678699999999,106.8306876,3,344.49618197857825,0,1,0
-6.2613007,106.8289744,2,514.1169644660692,0,1,0
-6.2639511,106.8236563,2,259.07509166122526,0,1,0
-6.2602656,106.815172,2,438.96431309606123,0,1,0
-6.2555529,106.8123381,3,426.42284797681833,0,1,0
-6.2674666,106.8139114,3,410.9202953581319,0,1,0
-6.272597699999999,106.8149503,2,51.51855177026053,0,1,0
-6.2353007,106.8152731,2,413.77334935555314,0,1,1
-6.255084,106.8144756,4,298.69034100714697,0,1,0
-6.2646261,106.813776,4,437.6882616957545,0,1,0
-6.2617066,106.8155229,2,552.4574841303415,0,1,0
-6.2604007,106.837657,4,466.4826018853522,0,1,1
-6.2804467,106.844865,0,539.0796323871901,0,1,0
-6.2819344,106.8197334,0,530.1592095032647,0,0,0
-6.2794572,106.8335032,3,163.24096872447166,0,1,0
-6.275748999999999,106.8414378,3,125.3536709375838,0,1,0
-6.2394178,106.8107532,3,74.49141039682395,0,1,1
-6.239303899999999,106.8121988,3,232.54966598659962,0,1,1
-6.2385571,106.817085,3,0.04421463635147021,1,1,1
-6.2258532,106.8588152,16,6.214263762656133,1,1,0
-6.279562299999999,106.8367311,3,95.15114947359858,0,1,0
-6.2664857,106.7975475,12,46.97171780172848,1,2,0
-6.2627085,106.7887445,2,35.81390641205812,1,2,0
-6.2774015,106.7765376,6,3.346114566061062,1,2,0
-6.278223100000001,106.797096,6,201.61502841242324,0,2,0
-6.2857772,106.7808844,4,152.36164898273066,0,2,0
-6.2910563,106.7949517,6,85.9537032167827,0,0,1
-6.2829641,106.7806074,3,166.20587144143175,0,2,0
-6.2843295,106.7811145,3,16.839076590453818,1,2,0
-6.2821542,106.7916131,2,84.56248738631723,0,2,0
-6.269582199999999,106.7748789,3,336.5997779842603,0,2,0
-6.277701,106.7728599,5,257.40979939208825,0,2,0
-6.2695941,106.7975764,9,136.50085817432344,0,2,0
