nama_kelurahan,latitude,longitude
Bangka,-6.2608384,106.8207875
Pela Mampang,-6.250807399999999,106.8148879
Tegal Parang,-6.249095199999999,106.8281623
Mampang Prapatan,-6.2439842,106.8281623
Kuningan Barat,-6.2365111,106.8222625
