nama_kelurahan,latitude,longitude
Pondok Pinang,-6.2775326,106.7794935
Kebayoran Lama Selatan,-6.2570768,106.7794935
Kebayoran Lama Utara,-6.245621499999999,106.7780189
Cipulir,-6.23682,106.773595
Grogol Selatan,-6.2300428,106.7798811
Grogol Utara,-6.2159946,106.7853922
