place_id,nama_kelurahan,nama_kecamatan,nama_kota
ChIJe_KhtJXxaS4Ro2d18maz9HI,Lebak Bulus,Cilandak,Kota Jakarta Selatan
ChIJbd-MJCruaS4RSb7vFayLGfQ,Lebak Bulus,Cilandak,Kota Jakarta Selatan
ChIJ9-f0rBfuaS4RflvVgq5gTTo,Pondok Labu,Cilandak,Kota Jakarta Selatan
ChIJUSEHg7TxaS4RsI5kfN_QGzs,Pondok Pinang,Kebayoran Lama,Kota Jakarta Selatan
ChIJQ8QJ52vxaS4R9ByNQALudjw,Pondok Pinang,Kebayoran Lama,Kota Jakarta Selatan
ChIJCz-ABPPvaS4RvH3YwYy3D3U,Pondok Labu,Cilandak,Kota Jakarta Selatan
ChIJNaff4frvaS4Rv-sXFlDoV8I,Jagakarsa,Jagakarsa,Kota Jakarta Selatan
ChIJVZkf7ijvaS4RohYfDKQq_TQ,Kel,Jagakarsa,Kota Jakarta Selatan
ChIJ46jSRZvvaS4ReMMdsz0r-Ls,Pondok Labu,Cilandak,Kota Jakarta Selatan
ChIJGQvZVnHuaS4R5-987_ViIy0,Jagakarsa,Jagakarsa,Kota Jakarta Selatan
ChIJMyzoc8PxaS4Rx4Pb25aRaVI,Kebayoran Lama Selatan,Kebayoran Lama,Kota Jakarta Selatan
ChIJd2c5ZS3xaS4R0Hfe_IqDLp0,Kebayoran Lama Selatan,Kebayoran Lama,Kota Jakarta Selatan
ChIJ-dormaPzaS4RlalyMly0C5M,Pela Mampang,Mampang Prapatan,Kota Jakarta Selatan
ChIJVXFUeUHxaS4RWn11bqNkU6A,Pondok Pinang,Kebayoran Lama,Kota Jakarta Selatan
ChIJz9mMD9ntaS4RZubt_6ybvOw,Kel,Jagakarsa,Kota Jakarta Selatan
ChIJWbkHhJ3taS4RYeZ0L7Xgo4Y,Kel,Jagakarsa,Kota Jakarta Selatan
ChIJe1YAOdLtaS4Rt7Ol21BHFN4,Srengseng Sawah,Jagakarsa,Kota Jakarta Selatan
ChIJLdQeZIztaS4R-teqdeGZ2Aw,Srengseng Sawah,Jagakarsa,Kota Jakarta Selatan
ChIJcXskSobtaS4Rgle9vWyGMns,Srengseng Sawah,Jagakarsa,Kota Jakarta Selatan
ChIJLccxhA3vaS4R1CueIAoDZlE,Ciganjur,Jagakarsa,Kota Jakarta Selatan
ChIJ2ZJsw-bvaS4RPE2HSgHEYvc,Cipedak,Jagakarsa,Kota Jakarta Selatan
ChIJ50-5vp3vaS4R4PP0-gOdOLY,Ciganjur,Jagakarsa,Kota Jakarta Selatan
ChIJzdSRmyfsaS4Rtl298qGtaec,Srengseng Sawah,Jakarta Selatan,Kota Jakarta Selatan
ChIJyXE7tX7uaS4R_N1dj_5A7Lk,Jagakarsa,Jagakarsa,Kota Jakarta Selatan
ChIJPxyLWijsaS4Rl6Ahgql2Zkc,Srengseng Sawah,Jagakarsa,Kota Jakarta Selatan
ChIJa5D3PpvuaS4RmD22MJHORS4,Cipedak,Jagakarsa,Kota Jakarta Selatan
ChIJn4GqwYjuaS4RkEZAhdWNiIU,Ciganjur,Jagakarsa,Kota Jakarta Selatan
ChIJwRkvJkbvaS4RV98hH2jg2jM,Ciganjur,Jagakarsa,Kota Jakarta Selatan
ChIJ60AxeGztaS4Ru2TlJfZ6_co,Kebagusan,Pasar Minggu,Kota Jakarta Selatan
ChIJcSF1kHzuaS4RmUi6Derkz0U,Ciganjur,Jagakarsa,Kota Jakarta Selatan
ChIJf-XTUHHuaS4R3O2aD58Jejc,Cipedak,Jagakarsa,Kota Jakarta Selatan
ChIJS129nNjvaS4RhFpkPRMENm4,Cipedak,Jagakarsa,Kota Jakarta Selatan
ChIJozZ4F7HtaS4R1kONZ5ibbtU,Srengseng Sawah,Jagakarsa,Kota Jakarta Selatan
ChIJQ72y0hzvaS4RX5dcmBsgyWU,Cipedak,Jagakarsa,Kota Jakarta Selatan
ChIJAw3ltijtaS4RmcB7KA3NCio,Srengseng Sawah,Jagakarsa,Kota Jakarta Selatan
ChIJNeAy4i3saS4R2vlrs_RK_Qk,Srengseng Sawah,Jagakarsa,Kota Jakarta Selatan
ChIJKUVCIj_taS4RPE3ln04fn_s,Kel,Jagakarsa,Kota Jakarta Selatan
ChIJO-fSOk7vaS4RCj8aV46LE6Q,Srengseng Sawah,Jagakarsa,Kota Jakarta Selatan
ChIJXWJrkhPvaS4Rrveg9EepZfI,Ciganjur,Jagakarsa,Kota Jakarta Selatan
ChIJW9l0OeDtaS4Rpqp-vEQlRxM,Kel,Jagakarsa,Kota Jakarta Selatan
ChIJMU7G8APvaS4RPldwPHdkBVs,Ciganjur,Jagakarsa,Kota Jakarta Selatan
ChIJ88BZcpnuaS4RE8o0nNn30ow,Srengseng Sawah,Jagakarsa,Kota Jakarta Selatan
ChIJ7ykmvmrvaS4RlZev4Fju-J8,Cipedak,Jagakarsa,Kota Jakarta Selatan
ChIJreD62aLuaS4RmuRbWickzPw,Cipedak,Jagakarsa,Kota Jakarta Selatan
ChIJO9SLoXrtaS4R_qO4Q2eaGC0,Srengseng Sawah,Jagakarsa,Kota Jakarta Selatan
ChIJI4ismJftaS4RG7BjJdb_aTE,Lenteng Agung,Jagakarsa,Kota Jakarta Selatan
ChIJDQ0fsc7taS4R3NlvyB-kvR0,Lenteng Agung,Jagakarsa,Kota Jakarta Selatan
ChIJ13AKk4ftaS4RCuU8MrNt6NA,Srengseng Sawah,Jagakarsa,Kota Jakarta Selatan
ChIJ5ecsNQftaS4R2Gym8QnVXUk,Kebagusan,Pasar Minggu,Kota Jakarta Selatan
ChIJlTB_4sPtaS4Rxc7ws3Uy_40,Lenteng Agung,Jagakarsa,Kota Jakarta Selatan
ChIJ-86bRuTtaS4Roa7AGvYD-sg,Kebagusan,Pasar Minggu,Kota Jakarta Selatan
ChIJO7r69eztaS4R6-qTHsW9FZo,Tanjung Barat,Jagakarsa,Kota Jakarta Selatan
ChIJYbi2VcPtaS4REBIUqS4H6nw,Kel,Jagakarsa,Kota Jakarta Selatan
ChIJIwmT0tTtaS4R6hg8QgNw3WY,Lenteng Agung,Jagakarsa,Kota Jakarta Selatan
ChIJ05wHln3taS4RfX09zv-hV4M,Lenteng Agung,Jagakarsa,Kota Jakarta Selatan
ChIJAdADu4rtaS4RvCWKME2nOFc,Srengseng Sawah,Jagakarsa,Kota Jakarta Selatan
ChIJgfNO4B7taS4R-UWce8QYzk8,Kebagusan,Pasar Minggu,Kota Jakarta Selatan
ChIJFaiFN5DtaS4RMY3a1g0u8Bo,Tanjung Barat,Jagakarsa,Kota Jakarta Selatan
ChIJr2pCifHtaS4RLO2T4wxkmtk,Kebagusan,Pasar Minggu,Kota Jakarta Selatan
ChIJ406rRZPtaS4RMYVeSLK2seg,Lenteng Agung,Jagakarsa,Kota Jakarta Selatan
ChIJddTlTzPsaS4R4BYzvn0YNik,Lenteng Agung,Jagakarsa,Kota Jakarta Selatan
ChIJyyRGCHXyaS4RLCAb2pLyLeA,Tanjung Barat,Jagakarsa,Kota Jakarta Selatan
ChIJY1uOaPPtaS4RITGKVmQwRXc,Tanjung Barat,Jagakarsa,Kota Jakarta Selatan
ChIJW2lkqAryaS4Rl3e1w3Am11w,Tanjung Barat,Jagakarsa,Kota Jakarta Selatan
ChIJFayoSIntaS4R9dPZgj-4vJY,Tanjung Barat,Jagakarsa,Kota Jakarta Selatan
ChIJQdPWtIbtaS4RhBYZ6sehLRQ,Gedong,Pasar Rebo,Kabupaten Garut
ChIJq1i2LQvyaS4RHh12kmtjRqQ,Tanjung Barat,Jagakarsa,Kota Jakarta Selatan
ChIJz6jzUEvtaS4RNyn3cEc9GMc,Tanjung Barat,Jagakarsa,Kota Jakarta Selatan
ChIJWXRO9N7zaS4REwUM9xF11QI,kaplongan,Pasar Minggu,Kota Jakarta Selatan
ChIJPYChSj7taS4Rq-R7hSUu8o0,Susukan,Ciracas,Kota Jakarta Timur
ChIJ8zwCzAryaS4RkFLYkvqVhtw,Tanjung Barat,Jagakarsa,Kota Jakarta Selatan
ChIJVdAdII_taS4Rb872ygOcjfw,Tanjung Barat,Jagakarsa,Kota Jakarta Selatan
ChIJXUNCuIztaS4RQ6Z_2mFx3Mk,Tanjung Barat,Jagakarsa,Kota Jakarta Selatan
ChIJkRXFMgryaS4ROng0xXn-8EU,Kel,Pasar Minggu,Kota Jakarta Selatan
ChIJ76qqqo3taS4RydX_XeSQfH8,Tanjung Barat,Jagakarsa,Kota Jakarta Selatan
ChIJGWqmJpntaS4Rh-y6x6_6bFg,Cijantung,Pasar Rebo,Kota Jakarta Timur
ChIJSxYbySzyaS4R2syLNG02aQQ,Bangka,Mampang Prapatan,Kota Jakarta Selatan
ChIJWVXFdyLzaS4R8xNLa-VEm_w,Tegal Parang,Mampang Prapatan,Kota Jakarta Selatan
ChIJ9cTCcxLxaS4RIQU5nzRwbcU,Kramat Pela,Kebayoran Baru,Kota Jakarta Selatan
ChIJ6fv_N23xaS4R8O7J0wDiRO4,Kramat Pela,Kebayoran Baru,Kota Jakarta Selatan
ChIJVSxA1S7yaS4RZ9xhBDqwsbI,Bangka,Mampang Prapatan,Kota Jakarta Selatan
ChIJQQRLPWLxaS4Rw_WIE4_HVMw,Pela Mampang,Mampang Prapatan,Kota Jakarta Selatan
ChIJgYNzkW7xaS4RAyBciUPKZRg,Melawai,Kebayoran Baru,Kota Jakarta Selatan
ChIJM-mfsy_xaS4RLeBYt92_-zA,Kramat Pela,Kebayoran Baru,Kota Jakarta Selatan
ChIJJcKfPGLxaS4RGLvlj1PN8YY,Pela Mampang,Mampang Prapatan,Kota Jakarta Selatan
ChIJmdxMydLzaS4R3PTMkWwbsm8,Pela Mampang,Mampang Prapatan,Kota Jakarta Selatan
ChIJE2FoiNjzaS4RkuhZJgb9Stg,Pela Mampang,Mampang Prapatan,Kota Jakarta Selatan
ChIJ5743TtvzaS4RaNTeZ8xL7Gw,Mampang Prapatan,Mampang Prapatan,Kota Jakarta Selatan
ChIJ3XNl2RTxaS4R5Bv0sufWonw,Kramat Pela,Kebayoran Baru,Kota Jakarta Selatan
ChIJM7mhkrDxaS4RCbsQa_-sjAw,Melawai,Kebayoran Baru,Kota Jakarta Selatan
ChIJl_om9KjzaS4RGU8Vxu07GBo,Tegal Parang,Mampang Prapatan,Kota Jakarta Selatan
ChIJ8_uaqH3zaS4Rh21wCL2tD_g,Ragunan,Pasar Minggu,Kota Jakarta Selatan
ChIJk9Chmd_zaS4R8JKnx_DYAd4,Pela Mampang,Mampang Prapatan,Kota Jakarta Selatan
ChIJgePHgdHzaS4RcdWxMOdPfeA,Tegal Parang,Mampang Prapatan,Kota Jakarta Selatan
ChIJp0jKnE_xaS4ReNrwgJLzaRU,Melawai,Kebayoran Baru,Kota Jakarta Selatan
ChIJgZrvVmjxaS4R-CmjwHJTv-o,Melawai,Kebayoran Baru,Kota Jakarta Selatan
ChIJAS87L23xaS4RE2RaGQ6kKq4,Kramat Pela,Kebayoran Baru,Kota Jakarta Selatan
ChIJ2-7GYbvxaS4RR9L87NnK-a0,Kramat Pela,Kebayoran Baru,Kota Jakarta Selatan
ChIJS00uRKzxaS4RfR-cjilSvTE,Pondok Pinang,Kebayoran Lama,Kota Jakarta Selatan
ChIJV87Df7PxaS4R7l-FQ1i9YTc,Pondok Pinang,Kebayoran Lama,Kota Jakarta Selatan
ChIJNZ_TjKvxaS4RSpGgi-UQMHE,Pondok Pinang,Kebayoran Lama,Kota Jakarta Selatan
ChIJwYPXjKvxaS4RnddDvAVPi-E,Pondok Pinang,Kebayoran Lama,Kota Jakarta Selatan
ChIJkUx2wx3xaS4RC4O553KPlfM,Kebayoran Lama Utara,Kebayoran Lama,Kota Jakarta Selatan
ChIJ0-P2f7PxaS4Rcf73HyrOepA,Pondok Pinang,Kebayoran Lama,Kota Jakarta Selatan
ChIJ-TaTa2fxaS4R6RNGaVrMT6k,Petogogan,Kebayoran Baru,Kota Jakarta Selatan
ChIJa3p8yiXxaS4RfugjuGiw9us,Cipulir,Kebayoran Lama,Kota Jakarta Selatan
ChIJl8UlGdXxaS4Rzp4Cn0GDDRY,Grogol Selatan,Kebayoran Lama,Kota Jakarta Selatan
ChIJIYHBgDDxaS4RvycdmnfZeP4,Grogol Selatan,Kebayoran Lama,Kota Jakarta Selatan
ChIJsaRf3yPxaS4R4cFCV3ZPdak,Melawai,Kebayoran Baru,Kota Jakarta Selatan
ChIJvR3FTzzxaS4R3I33kymyg0w,Gunung,Kebayoran Baru,Kota Jakarta Selatan
ChIJ8-2f5VzxaS4RuUIzcDEbZJ8,south,Kebayoran Lama,Kota Jakarta Selatan
ChIJiRXWFynxaS4RMfZt6bXsEeI,Sukabumi Selatan,Kebon Jeruk,Kota Jakarta Selatan
ChIJ7dChQKnxaS4Rc90K7EVLZBA,Rawa Barat,Kebayoran Baru,Kota Jakarta Selatan
ChIJDxW97RrzaS4RmZsx_ifU4x8,Kuningan Barat,Mampang Prapatan,Kota Jakarta Selatan
ChIJR3_-W0XzaS4Ra2KJ49HgobM,Kuningan Timur,Setiabudi,Kota Jakarta Selatan
ChIJZSNypFjzaS4RiqX0yBCekAw,Karet Semanggi,Setiabudi,Kota Jakarta Selatan
ChIJ7z1SCOPzaS4RUqc62WYc7_E,Kuningan Timur,Setiabudi,Kota Jakarta Selatan
ChIJpQkMoNHzaS4R2HbnZOycUjU,Tegal Parang,Mampang Prapatan,Kota Jakarta Selatan
ChIJv7kzTtvzaS4RPboho4y1LBs,Mampang Prapatan,Mampang Prapatan,Kota Jakarta Selatan
ChIJRSP9X8HzaS4ROIFGu7jBrKg,Kuningan Timur,Setiabudi,Kota Jakarta Selatan
ChIJXVCj6unzaS4R3_PYMijRI8o,Setia Budi,Setiabudi,Kota Jakarta Selatan
ChIJaXYbbDDzaS4RLIPv_3bV5Yg,Tegal Parang,Mampang Prapatan,Kota Jakarta Selatan
ChIJyxel_CHzaS4RK3olku7tsH8,Tegal Parang,Mampang Prapatan,Kota Jakarta Selatan
ChIJXb2FxfXzaS4RMmmtYeQEE18,Kuningan Timur,Setiabudi,Kota Jakarta Selatan
ChIJ7yB92wvzaS4RB20MfN2CxwI,Kel,Mampang Prapatan,Kota Jakarta Selatan
ChIJM7-EqKr2aS4Rv5IqHeB_HY0,Setia Budi,Setiabudi,Kota Jakarta Selatan
ChIJQzyLgYTzaS4RebsP5hyLO0c,Tegal Parang,Mampang Prapatan,Kota Jakarta Selatan
ChIJj_61hA3zaS4RYO2Bom0a2e0,Kuningan Timur,Setiabudi,Kota Jakarta Selatan
ChIJfecMjMTzaS4R4fJ9fakjI5Q,Mampang Prapatan,Mampang Prapatan,Kota Jakarta Selatan
