place_id,nama_kelurahan,nama_kecamatan,nama_kota
ChIJCaIfAS3zaS4RU05zKohxCf0,Kuningan Barat,Mampang Prapatan,Kota Jakarta Selatan
ChIJK5X2RyjxaS4RyPDN-Qxm35w,Grogol Selatan,Kebayoran Lama,Kota Jakarta Selatan
ChIJ7wOa9NjwaS4RlE5wVtVplPI,Grogol Selatan,Kebayoran Lama,Kota Jakarta Selatan
ChIJGwAAADvxaS4RE8wz9nSvxB4,South Grogol,Kebayoran Lama,South Jakarta City
ChIJ4RbvS9PzaS4R6hZNBfVLPa4,Kuningan Barat,Mampang Prapatan,Kota Jakarta Selatan
ChIJ420LHDLyaS4RhHEuu5hwBX8,Kalibata,Pancoran,Kota Jakarta Selatan
ChIJXxPvJBLxaS4RtgUwzQoQGtQ,Petogogan,Kebayoran Baru,Kota Jakarta Selatan
ChIJJ5m3hBz0aS4RBJ9_gwBC4gk,Setia Budi,Setiabudi,Kota Jakarta Selatan
ChIJZU13Dof1aS4RXIGm2TLCTWY,Guntur,Setiabudi,Kota Jakarta Selatan
ChIJHYztEg_0aS4RoD35swJ40H4,Guntur,Setiabudi,Kota Jakarta Selatan
ChIJ_ZiOif71aS4RT1bOaYGVvB8,Kebon Melati,Tanah Abang,Kota Jakarta Pusat
ChIJz6qqqsnwaS4R5k7p_0d1KX8,Petukangan Utara,Pesanggrahan,Kota Jakarta Selatan
ChIJe35tSOjwaS4R6QeisbhjlkM,Petukangan Selatan,Pesanggrahan,Kota Jakarta Selatan
ChIJJUPMjNjwaS4RdFqvhCYBXTs,Grogol Selatan,Kebayoran Lama,Kota Jakarta Selatan
ChIJD9RtOvDwaS4RhDJlnkZFfoE,Pesanggrahan,Jakarta Selatan,Kota Jakarta Selatan
ChIJl0Lx7NzwaS4RvKVM6oOutyw,Ulujami,Pesanggrahan,Kota Jakarta Selatan
ChIJcwAAAOnwaS4RyejTwt6YERQ,South Petukangan,Jakarta Selatan,South Jakarta City
ChIJ6aVHOCDxaS4R6MCZegYiQ0Q,Cipulir,Kebayoran Lama,Kota Jakarta Selatan
ChIJ4___P-fwaS4R-yxrxTiWMmQ,Ulujami,Pesanggrahan,South Jakarta City
ChIJf6MZFinxaS4RyCeGToSenpA,Grogol Utara,Kebayoran Lama,Kota Jakarta Selatan
ChIJAZgxPO_waS4RSgVSHG9MFBc,Petukangan Selatan,Pesanggrahan,Kota Jakarta Selatan
ChIJCfldOcPwaS4RtrLi0yMazkU,Petukangan Utara,Pesanggrahan,Kota Jakarta Selatan
ChIJ4___P-fwaS4Ra-rEZZq9-CM,Ulujami,Pesanggrahan,Kota Jakarta Selatan
ChIJuVSpxN_waS4Rm819BJDCdw0,Cipulir,Kebayoran Lama,Kota Jakarta Selatan
ChIJSaRPzt3waS4R3DqqT8nucVY,Ulujami,Pesanggrahan,Kota Jakarta Selatan
ChIJz6qqqsnwaS4RAC370aGrhq4,North Petukangan,Pesanggrahan,South Jakarta City
ChIJex_w2-_waS4R6VXC2vkXSFA,Pesanggrahan,Pesanggrahan,Kota Jakarta Selatan
ChIJOwckatDwaS4RpIzxDLhO1EM,Ulujami,Pesanggrahan,Kota Jakarta Selatan
ChIJ4___P-fwaS4RZ-EO8PKFun8,Ulujami,Pesanggrahan,Kota Jakarta Selatan
ChIJz6qqqsnwaS4RxD9ldK9oKKo,Petukangan Selatan,Pesanggrahan,Kota Jakarta Selatan
ChIJH36UOM7waS4RPJe-iO0msh0,Petukangan Utara,Pesanggrahan,Kota Jakarta Selatan
ChIJe6ZjJMzwaS4RkAqiCOaJD-E,Petukangan Utara,Pesanggrahan,Kota Jakarta Selatan
ChIJT8mnns72aS4RPfUpbeXysQo,Grogol Utara,Kebayoran Lama,Kota Jakarta Selatan
